Category,Total Selling Value
Blazzer,11740803.578428572
Perfume,832524.5566666666
Shirt,23339317.612016596
Shoes,130427.26
Socks,162098.54833333334
T-shirt,41321719.77265007
Trousers,5634940.936904762
Wallet,487420.105
Watch,915.0
